Fallback for message: Eu falo da empresa Cultura Inglesa, intent: captura_empresa, confidence: 0.9999984502792358
Fallback for message: Tesla, intent: nlu_fallback, confidence: 0.9
Fallback for message: taxi, intent: nlu_fallback, confidence: 0.9
Fallback for message: gagdkjsdagjsfhksa, intent: nlu_fallback, confidence: 0.9
Fallback for message: nao, intent: nlu_fallback, confidence: 0.9
Fallback for message: gisele, intent: nlu_fallback, confidence: 0.9
Fallback for message: biana, intent: nlu_fallback, confidence: 0.9
Fallback for message: bianca, intent: nlu_fallback, confidence: 0.9
Fallback for message: vonix, intent: nlu_fallback, confidence: 0.9
Fallback for message: eu quero ajuda com o uso do novo programa, intent: nlu_fallback, confidence: 0.9
Fallback for message: sim, estou com um defeito no sistema, intent: nlu_fallback, confidence: 0.9
Fallback for message: comercial, intent: nlu_fallback, confidence: 0.9
Fallback for message: comercial, intent: nlu_fallback, confidence: 0.9
Fallback for message: oikkj, intent: nlu_fallback, confidence: 0.9
Fallback for message: nsnus, intent: nlu_fallback, confidence: 0.9
Fallback for message: cellvix, intent: captura_empresa, confidence: 0.9999768733978271
Fallback for message: gui, intent: nlu_fallback, confidence: 0.9
Fallback for message: guilherem, intent: nlu_fallback, confidence: 0.9
Fallback for message: cellvix, intent: captura_empresa, confidence: 0.9999195337295532
Fallback for message: ASG Corporation, intent: nlu_fallback, confidence: 0.9
Fallback for message: meu sistema parou de funcionar, intent: nlu_fallback, confidence: 0.9
Fallback for message: Preciso de ajuda com meu telefone, intent: informacao_suporte, confidence: 0.9960286617279053
Fallback for message: Guilherme, intent: captura_nome, confidence: 0.9999449253082275
Fallback for message: Guilherme, intent: captura_nome, confidence: 0.9999449253082275
Fallback for message: ana, intent: captura_nome, confidence: 0.9620432257652283
Fallback for message: Luis, intent: captura_nome, confidence: 0.9999663829803467
Fallback for message: Sou Luis, intent: captura_nome, confidence: 0.9999990463256836
Fallback for message: Guilherme, intent: captura_nome, confidence: 0.9985125660896301
Fallback for message: Guilherme, intent: captura_nome, confidence: 0.9985125660896301
Fallback for message: Luis, intent: captura_nome, confidence: 0.9989375472068787
Fallback for message: Luis, intent: captura_nome, confidence: 0.9989375472068787
Fallback for message: Guilherme, intent: captura_nome, confidence: 0.9985125660896301
Fallback for message: Guilherme, intent: captura_nome, confidence: 0.9985125660896301
Fallback for message: Ana, intent: captura_nome, confidence: 0.6454213261604309
Fallback for message: oi, intent: nlu_fallback, confidence: 10.0
Fallback for message: oi, intent: nlu_fallback, confidence: 10.0
Fallback for message: oi, intent: nlu_fallback, confidence: 10.0
Fallback for message: oi, intent: nlu_fallback, confidence: 10.0
Fallback for message: estou com um problema assim e aquilo, intent: informacao_suporte, confidence: 0.9061192274093628
Fallback for message: O sistema está fora do ar, intent: informacao_suporte, confidence: 0.9986144304275513
Fallback for message: guilherme, intent: captura_nome, confidence: 0.9999998807907104
Fallback for message: guilherme, intent: captura_nome, confidence: 0.9999998807907104
Fallback for message: ana, intent: captura_nome, confidence: 0.9951725602149963
Fallback for message: guilherme, intent: captura_nome, confidence: 0.9999998807907104
Fallback for message: guilherme, intent: captura_nome, confidence: 0.9999998807907104
Fallback for message: gui, intent: captura_nome, confidence: 0.9999995231628418
Fallback for message: gui, intent: captura_nome, confidence: 0.9999995231628418
Fallback for message: gui, intent: captura_nome, confidence: 0.9999995231628418
Fallback for message: gui, intent: captura_nome, confidence: 0.9999995231628418
Fallback for message: gui, intent: captura_nome, confidence: 0.9999995231628418
Fallback for message: gui, intent: captura_nome, confidence: 0.9999995231628418
Fallback for message: Afonso, intent: nlu_fallback, confidence: 0.6
Fallback for message: acme, intent: captura_empresa, confidence: 0.9999591112136841
Fallback for message: luciana, intent: informar_nome, confidence: 1.0
Fallback for message: Luciana, intent: informar_nome, confidence: 1.0
Fallback for message: Acme, intent: captura_empresa, confidence: 0.9999651908874512
Fallback for message: acme, intent: captura_empresa, confidence: 0.9999591112136841
Fallback for message: Luciana, intent: informar_nome, confidence: 1.0
Fallback for message: luciana, intent: informar_nome, confidence: 1.0
Fallback for message: Cellvix, intent: captura_empresa, confidence: 0.9997897744178772
Fallback for message: , intent: nlu_fallback, confidence: 0.6
Fallback for message: , intent: nlu_fallback, confidence: 0.6
Fallback for message: , intent: nlu_fallback, confidence: 0.6
Fallback for message: guilherme, intent: informar_nome, confidence: 1.0
Fallback for message: guilherme, intent: informar_nome, confidence: 1.0
Fallback for message: Cellvix, intent: captura_empresa, confidence: 0.9997897744178772
Fallback for message: oi, intent: informacao_suporte, confidence: 0.677094578742981
Fallback for message: oi, intent: informacao_suporte, confidence: 0.677094578742981
Fallback for message: Quero um help e que possam me direcionar, intent: informacao_suporte, confidence: 0.9885061979293823
Fallback for message: irão me direcionar?, intent: nlu_fallback, confidence: 0.3
Fallback for message: Acme, intent: captura_empresa, confidence: 0.9999651908874512
Fallback for message: ana, intent: informar_nome, confidence: 1.0
Fallback for message: Acme, intent: captura_empresa, confidence: 0.9999945163726807
Fallback for message: luciana, intent: informar_nome, confidence: 1.0
Fallback for message: Acme, intent: informar_nome, confidence: 0.9998528957366943
Fallback for message: empresa Lorena, intent: informar_empresa, confidence: 1.0
Fallback for message: Acme, intent: informar_empresa, confidence: 1.0
Fallback for message: Acme, intent: informar_empresa, confidence: 1.0
Fallback for message: Acme, intent: informar_empresa, confidence: 1.0
Fallback for message: Acme, intent: informar_empresa, confidence: 1.0
Fallback for message: acme, intent: informar_empresa, confidence: 1.0
Fallback for message: acme, intent: informar_empresa, confidence: 1.0
Fallback for message: vonix, intent: informar_empresa, confidence: 1.0
Fallback for message: acme, intent: informar_empresa, confidence: 1.0
Fallback for message: spotify, intent: informar_empresa, confidence: 1.0
Fallback for message: Acme, intent: informar_empresa, confidence: 1.0
Fallback for message: Acme, intent: informar_empresa, confidence: 1.0
Fallback for message: Acme, intent: informar_empresa, confidence: 1.0
Fallback for message: Acme, intent: informar_empresa, confidence: 1.0
Fallback for message: Vonix, intent: informar_empresa, confidence: 1.0
Fallback for message: Vonix, intent: informar_empresa, confidence: 1.0
Fallback for message: Vonix, intent: informar_empresa, confidence: 1.0
Fallback for message: Vonix, intent: informar_empresa, confidence: 1.0
Fallback for message: Spotify, intent: informar_empresa, confidence: 1.0
Fallback for message: Reeve, intent: informar_empresa, confidence: 0.8646073341369629
Fallback for message: Falo da empresa Reeve, intent: informar_empresa, confidence: 1.0
Fallback for message: Cellvix, intent: informar_empresa, confidence: 1.0
Fallback for message: acme, intent: informar_empresa, confidence: 1.0
Fallback for message: Cellvix, intent: informar_empresa, confidence: 1.0
Fallback for message: Cellvix, intent: informar_empresa, confidence: 1.0
Fallback for message: vonix, intent: informar_empresa, confidence: 1.0
Fallback for message: Vonix, intent: informar_empresa, confidence: 1.0
Fallback for message: vonix, intent: informar_empresa, confidence: 1.0
Fallback for message: VONIX, intent: informar_empresa, confidence: 1.0
Fallback for message: Acme, intent: informar_empresa, confidence: 1.0
Fallback for message: minha emporesa é Tesla, intent: informar_empresa, confidence: 1.0
Fallback for message: Vonix, intent: informar_empresa, confidence: 1.0
Fallback for message: cellvix, intent: informar_empresa, confidence: 1.0
Fallback for message: acme, intent: informar_empresa, confidence: 1.0
Fallback for message: cellvix, intent: informar_empresa, confidence: 1.0
Fallback for message: cellvix, intent: informar_empresa, confidence: 1.0
Fallback for message: ibm, intent: informar_empresa, confidence: 1.0
Fallback for message: ibm, intent: informar_empresa, confidence: 1.0
